Episode    Status   Avg steps to goal    Total Goals     Counter        
0          1        283.0                1               1223           
1          1        248.0                2               2127           
2          1        238.7                3               2819           
3          1        201.5                4               3156           
4          3        261.2                4               3333           
5          1        238.0                5               3823           
6          1        216.9                6               4113           
7          3        252.2                6               4255           
8          3        279.8                6               4486           
9          2        301.8                6               4863           
10         3        319.8                6               5034           
11         1        308.6                7               5782           
12         1        296.8                8               6395           
13         1        296.0                9               7458           
14         3        309.6                9               7719           
15         3        321.5                9               7964           
16         1        309.3                10              8403           
17         1        299.8                11              8980           
18         2        310.4                11              9460           
19         3        319.9                11              9540           
20         1        313.0                12              10275          
21         1        307.0                13              10896          
22         3        315.4                13              11750          
23         1        310.4                14              12430          
24         1        304.4                15              13040          
25         2        311.9                15              13567          
26         2        318.9                15              14136          
27         1        311.4                16              14526          
28         1        303.8                17              14791          
29         1        298.8                18              15297          
30         1        295.1                19              15866          
31         1        290.5                20              16381          
32         1        286.4                21              16885          
33         1        282.1                22              17326          
34         1        277.9                23              17728          
35         1        277.4                24              18514          
36         3        283.4                24              19000          
37         3        289.1                24              19288          
38         1        286.5                25              19979          
39         1        284.1                26              20805          
40         3        289.4                26              22036          
41         1        285.0                27              22478          
42         1        282.7                28              23225          
43         1        279.7                29              23822          
44         2        284.6                29              24361          
45         3        289.2                29              24511          
46         2        293.7                29              25201          
47         1        291.0                30              25887          
48         3        295.3                30              26058          
49         3        299.4                30              26258          
50         1        302.1                31              28023          
51         1        300.0                32              28800          
52         1        296.3                33              29197          
53         3        300.1                33              29302          
54         3        303.7                33              29567          
55         1        300.3                34              29999          
56         1        297.2                35              30402          
57         1        295.8                36              31192          
58         1        292.2                37              31493          
59         1        289.9                38              32088          
60         1        288.9                39              32997          
61         1        289.3                40              34249          
62         1        287.0                41              34834          
63         2        290.3                41              35194          
64         1        287.6                42              35649          
65         1        284.5                43              35946          
66         1        282.8                44              36625          
67         1        280.5                45              37158          
68         3        283.7                45              37773          
69         1        283.5                46              38914          
70         1        282.2                47              39649          
71         1        279.9                48              40099          
72         1        278.1                49              40628          
73         2        281.1                49              41365          
74         1        280.3                50              42292          
75         1        278.9                51              43019          
76         3        281.8                51              43665          
77         3        284.6                51              43830          
78         3        287.3                51              43997          
79         1        285.5                52              44625          
80         1        285.0                53              45557          
81         1        283.4                54              46124          
82         3        286.0                54              46653          
83         1        284.2                55              47175          
84         1        283.5                56              48070          
85         1        283.3                57              49140          
86         3        285.8                57              49922          
87         2        288.3                57              50463          
88         1        286.7                58              51082          
89         1        285.4                59              51686          
90         3        287.7                59              51831          
91         3        290.0                59              51933          
92         3        292.3                59              52170          
93         3        294.5                59              52315          
94         3        296.7                59              53300          
95         1        295.1                60              53929          
96         3        297.2                60              54077          
97         1        296.1                61              54807          
98         1        295.6                62              55895          
99         1        294.0                63              56511          
100        3        296.0                63              56866          
101        3        298.0                63              57217          
102        3        300.0                63              57507          
103        3        301.9                63              57733          
104        1        300.9                64              58467          
105        1        300.4                65              59549          
106        2        302.3                65              60143          
107        1        301.3                66              60949          
108        1        300.6                67              61790          
109        1        299.9                68              62628          
110        1        300.0                69              63854          
111        3        301.8                69              64177          
112        3        303.6                69              64464          
113        1        302.3                70              65155          
114        1        301.5                71              65945          
115        1        300.0                72              66516          
116        1        299.2                73              67304          
117        1        297.7                74              67731          
118        1        296.3                75              68230          
119        3        298.0                75              68500          
120        1        296.9                76              69112          
121        3        298.5                76              69321          
122        3        300.2                76              69778          
123        1        299.1                77              70450          
124        1        298.2                78              71198          
125        3        299.8                78              71573          
126        1        300.0                79              72870          
127        1        299.0                80              73606          
128        1        298.7                81              74650          
129        1        297.8                82              75454          
130        3        299.3                82              75811          
131        3        300.8                82              76188          
132        3        302.3                82              76328          
133        1        301.3                83              76900          
134        1        300.4                84              77562          
135        2        301.8                84              77840          
136        1        301.0                85              78528          
137        3        302.4                85              78729          
138        3        303.8                85              78993          
139        3        305.2                85              79205          
140        3        306.6                85              79846          
141        1        305.4                86              80360          
142        1        304.6                87              81101          
143        2        306.0                87              82433          
144        1        305.2                88              83246          
145        3        306.5                88              83333          
146        1        306.4                89              84562          
147        1        304.7                90              84812          
148        3        306.0                90              85133          
149        1        306.4                91              86538          
150        1        306.3                92              87618          
151        1        305.1                93              88089          
152        3        306.4                93              88356          
153        1        306.1                94              89377          
154        1        305.0                95              89990          
155        3        306.3                95              90220          
156        3        307.5                95              90379          
157        1        306.4                96              90983          
158        1        305.7                97              91790          
159        3        306.9                97              91868          
160        1        306.0                98              92557          
161        1        305.0                99              93156          
162        1        304.3                100             93854          
163        1        303.2                101             94342          
164        3        304.4                101             94825          
165        3        305.5                101             94981          
166        1        304.9                102             95808          
167        1        304.5                103             96792          
168        1        303.8                104             97431          
169        2        304.9                104             97783          
170        1        303.9                105             98265          
171        1        302.9                106             98768          
172        3        304.1                106             99013          
173        1        303.5                107             99805          
174        1        302.2                108             100088         
175        3        303.3                108             100252         
176        2        304.4                108             100925         
177        1        304.0                109             101848         
178        1        303.4                110             102643         
179        3        304.5                110             103035         
180        1        303.3                111             103392         
181        2        304.4                111             104060         
182        2        305.5                111             104753         
183        2        306.5                111             105591         
184        2        307.6                111             106000         
185        1        306.3                112             106317         
186        1        305.5                113             107006         
187        1        304.9                114             107783         
188        1        303.9                115             108313         
189        1        302.7                116             108724         
190        1        302.0                117             109461         
191        1        301.0                118             109888         
192        3        302.0                118             110139         
193        1        301.6                119             111091         
194        1        300.8                120             111602         
195        1        300.1                121             112139         
196        1        299.0                122             112393         
197        1        298.2                123             112837         
198        2        299.2                123             113429         
199        3        300.2                123             113954         
200        1        299.9                124             114936         
201        1        299.2                125             115528         
202        1        298.8                126             116325         
203        1        298.0                127             116921         
204        1        297.7                128             117760         
205        1        296.7                129             118163         
206        2        297.6                129             118546         
207        3        298.6                129             118781         
208        3        299.6                129             119026         
209        1        298.8                130             119658         
210        1        298.3                131             120462         
211        1        298.2                132             121697         
212        3        299.2                132             122144         
213        1        298.3                133             122600         
214        1        297.6                134             123206         
215        2        298.5                134             124105         
216        1        298.0                135             124789         
217        1        297.4                136             125533         
218        1        296.8                137             126124         
219        1        296.4                138             127004         
220        1        295.7                139             127492         
221        2        296.6                139             127988         
222        2        297.5                139             128331         
223        3        298.4                139             128626         
224        2        299.3                139             129064         
225        1        298.8                140             129870         
226        2        299.7                140             130519         
227        3        300.6                140             130882         
228        1        299.7                141             131312         
229        1        299.1                142             132017         
230        1        298.5                143             132760         
231        2        299.4                143             133395         
232        1        299.0                144             134245         
233        1        298.2                145             134681         
234        1        297.5                146             135165         
235        1        296.8                147             135761         
236        1        296.2                148             136460         
237        2        297.0                148             137040         
238        1        296.7                149             137914         
239        3        297.5                149             138133         
240        3        298.4                149             138511         
241        2        299.2                149             139260         
242        2        300.0                149             139861         
243        1        299.5                150             140581         
244        1        299.0                151             141254         
245        1        298.5                152             141990         
246        1        297.9                153             142564         
247        2        298.7                153             143028         
248        1        298.0                154             143502         
249        1        297.5                155             144148         
250        1        296.8                156             144549         
251        1        296.6                157             145500         
252        3        297.4                157             145790         
253        1        296.8                158             146421         
254        3        297.6                158             146758         
255        1        297.5                159             147816         
256        3        298.3                159             148186         
257        1        297.6                160             148771         
258        2        298.4                160             149253         
259        1        297.9                161             149895         
260        1        297.3                162             150555         
261        2        298.1                162             151207         
262        1        297.6                163             151828         
263        1        297.0                164             152436         
264        1        296.5                165             153192         
265        1        296.1                166             154032         
266        3        296.9                166             154578         
267        3        297.7                166             155169         
268        1        297.0                167             155766         
269        1        296.5                168             156410         
270        1        296.8                169             157842         
271        1        296.3                170             158438         
272        1        296.0                171             159237         
273        1        295.4                172             159846         
274        3        296.2                172             160080         
275        1        295.8                173             160800         
276        1        295.4                174             161569         
277        1        294.9                175             162223         
278        1        294.7                176             163162         
279        2        295.4                176             163895         
280        1        294.8                177             164421         
281        1        294.3                178             164999         
282        1        293.8                179             165606         
283        1        293.0                180             165952         
284        1        292.3                181             166318         
285        1        291.7                182             166816         
286        1        291.3                183             167676         
287        3        292.1                183             168269         
288        1        291.6                184             168934         
289        1        291.0                185             169378         
290        1        290.5                186             169936         
291        3        291.2                186             170123         
292        1        290.9                187             170949         
293        1        290.5                188             171656         
294        3        291.2                188             171873         
295        3        291.9                188             172305         
296        2        292.6                188             172539         
297        1        292.3                189             173424         
298        1        291.9                190             174290         
299        1        291.2                191             174739         
300        1        290.8                192             175440         
301        3        291.5                192             175582         
302        1        291.1                193             176321         
303        3        291.8                193             176697         
304        3        292.5                193             176966         
305        1        292.4                194             178074         
306        1        292.0                195             178852         
307        3        292.7                195             179167         
308        3        293.4                195             179387         
309        3        294.0                195             179614         
310        1        293.8                196             180550         
311        1        293.6                197             181424         
312        3        294.3                197             181716         
313        1        293.8                198             182316         
314        1        293.2                199             182715         
315        3        293.9                199             182923         
316        1        293.6                200             183657         
317        3        294.2                200             184446         
318        3        294.8                200             184747         
319        3        295.5                200             184884         
320        1        294.9                201             185296         
321        2        295.6                201             186105         
322        2        296.2                201             186582         
323        3        296.8                201             187186         
324        2        297.4                201             187729         
325        1        296.8                202             188069         
326        1        296.6                203             189213         
327        1        296.2                204             189918         
328        3        296.8                204             190121         
329        3        297.4                204             190341         
330        1        297.1                205             191081         
331        3        297.7                205             191393         
332        3        298.3                205             191812         
333        3        298.9                205             192093         
334        1        298.6                206             192852         
335        2        299.2                206             193482         
336        3        299.8                206             194136         
337        1        299.2                207             194575         
338        1        299.0                208             195505         
339        3        299.6                208             195911         
340        1        299.6                209             197046         
341        1        299.1                210             197545         
342        1        298.6                211             197992         
343        3        299.2                211             198084         
344        1        298.9                212             198868         
345        1        298.4                213             199398         
346        3        299.0                213             199965         
347        1        298.4                214             200430         
348        1        298.0                215             201065         
349        1        297.6                216             201686         
350        1        297.2                217             202288         
351        3        297.8                217             202535         
352        1        297.4                218             203174         
353        1        297.1                219             203954         
