Episode    Status   Avg steps to goal    Total Goals     Counter        
226        1        304.5                136             128774         
227        1        304.4                137             129839         
228        1        303.9                138             130532         
229        2        304.7                138             131078         
230        1        304.4                139             131946         
231        3        305.2                139             132665         
232        1        304.9                140             133637         
233        3        305.7                140             134043         
234        1        304.9                141             134587         
235        1        304.1                142             135023         
236        1        303.3                143             135547         
237        1        302.6                144             136135         
238        1        301.7                145             136483         
239        3        302.5                145             136708         
240        1        302.2                146             137496         
241        1        301.6                147             138041         
242        1        301.4                148             139126         
243        1        301.1                149             139984         
244        3        301.9                149             140179         
245        3        302.7                149             141287         
246        1        302.1                150             141946         
247        1        301.4                151             142493         
248        2        302.2                151             142910         
249        1        301.8                152             143772         
250        1        301.1                153             144355         
251        3        301.9                153             144677         
252        2        302.7                153             145201         
253        1        302.2                154             146051         
254        3        303.0                154             146313         
255        1        302.3                155             146837         
256        1        301.9                156             147640         
257        2        302.7                156             148163         
258        3        303.4                156             148302         
259        3        304.2                156             148406         
260        1        303.4                157             148790         
261        1        302.8                158             149365         
262        3        303.6                158             149583         
263        3        304.3                158             149822         
264        1        303.9                159             150553         
265        3        304.6                159             150854         
266        3        305.4                159             151415         
267        1        304.7                160             151947         
268        1        304.4                161             152904         
269        3        305.1                161             153491         
270        1        304.7                162             154122         
271        1        304.1                163             154658         
272        3        304.8                163             154856         
273        3        305.5                163             155059         
274        1        305.1                164             155848         
275        1        304.6                165             156522         
276        1        304.1                166             157124         
277        3        304.8                166             158017         
278        3        305.5                166             158250         
279        1        304.9                167             158815         
280        3        305.6                167             159479         
281        2        306.3                167             160293         
282        3        307.0                167             160662         
283        1        306.1                168             160923         
284        1        305.6                169             161476         
285        1        305.2                170             162225         
286        2        305.9                170             163135         
287        3        306.5                170             163401         
288        3        307.2                170             163612         
289        1        306.6                171             164151         
290        3        307.3                171             164442         
291        3        307.9                171             164805         
292        3        308.6                171             164886         
293        1        307.9                172             165267         
294        3        308.5                172             165567         
295        3        309.2                172             166491         
296        1        308.6                173             167013         
297        3        309.2                173             167306         
298        3        309.9                173             167499         
299        1        309.4                174             168144         
300        3        310.0                174             168237         
301        3        310.7                174             168311         
302        1        310.2                175             168878         
303        1        309.7                176             169478         
304        2        310.3                176             170097         
305        1        309.6                177             170499         
306        3        310.3                177             171244         
307        1        309.6                178             171695         
308        1        309.2                179             172442         
309        1        309.0                180             173423         
310        1        308.5                181             174035         
311        1        308.2                182             174832         
312        1        307.7                183             175341         
313        3        308.3                183             175565         
314        3        308.9                183             175907         
315        1        308.2                184             176277         
316        3        308.8                184             176565         
317        1        308.2                185             177012         
318        3        308.8                185             177268         
319        1        308.3                186             177850         
320        1        307.9                187             178577         
321        3        308.5                187             179743         
322        1        308.4                188             180721         
323        1        307.8                189             181146         
324        1        307.0                190             181440         
325        1        306.4                191             181912         
326        1        306.1                192             182699         
327        3        306.7                192             183032         
328        1        306.4                193             183834         
329        3        306.9                193             183990         
330        1        306.3                194             184376         
331        1        306.1                195             185247         
332        3        306.6                195             185419         
333        3        307.2                195             186037         
334        1        306.8                196             186703         
