Episode    Status   Avg steps to goal    Total Goals     Counter        
0          1        102.0                1               446            
1          1        121.5                2               920            
2          1        129.3                3               1473           
3          1        118.5                4               1847           
4          1        142.6                5               2768           
5          1        141.2                6               3296           
6          1        141.4                7               3840           
7          3        186.2                7               4156           
8          1        180.9                8               4848           
9          1        177.8                9               5570           
10         3        207.1                9               6316           
11         1        208.5                10              7225           
12         1        206.4                11              8087           
13         1        200.7                12              8698           
14         1        200.7                13              9534           
15         1        195.9                14              10046          
16         3        213.8                14              10763          
17         1        207.0                15              11218          
18         1        201.6                16              11698          
19         3        216.6                16              12288          
20         1        214.0                17              12999          
21         3        227.0                17              13551          
22         1        221.7                18              14045          
23         1        224.0                19              15345          
24         1        218.5                20              15798          
25         1        213.9                21              16260          
26         1        211.5                22              16960          
27         1        211.9                23              18050          
28         2        221.8                23              18813          
29         1        227.5                24              20630          
30         1        224.2                25              21136          
31         1        222.6                26              21826          
32         1        220.6                27              22473          
33         3        228.8                27              22697          
34         1        226.5                28              23350          
35         3        234.1                28              23460          
36         2        241.2                28              23950          
37         1        238.7                29              24465          
38         3        245.4                29              24667          
39         1        241.9                30              25050          
40         2        248.2                30              25456          
41         3        254.2                30              25572          
42         3        259.9                30              25990          
43         3        265.4                30              26176          
44         3        270.6                30              26363          
45         1        266.9                31              26756          
46         1        264.4                32              27378          
47         1        261.9                33              28027          
48         1        259.4                34              28636          
49         1        256.8                35              29170          
50         3        261.6                35              29336          
51         1        264.3                36              31035          
52         3        268.8                36              31299          
53         1        265.7                37              31716          
54         1        262.7                38              32121          
55         2        266.9                38              32862          
56         3        271.0                38              33030          
57         3        275.0                38              33318          
58         1        272.9                39              33928          
59         2        276.6                39              34354          
60         1        275.3                40              35196          
61         3        278.9                40              35727          
62         1        276.6                41              36293          
63         3        280.1                41              36670          
64         1        277.9                42              37189          
65         3        281.3                42              37532          
66         3        284.6                42              37706          
67         1        282.2                43              38242          
68         1        280.3                44              38815          
69         1        278.6                45              39477          
70         3        281.8                45              39590          
71         1        279.6                46              40152          
72         2        282.6                46              40671          
73         1        282.0                47              41561          
74         1        279.6                48              42011          
75         1        280.4                49              43522          
76         1        278.2                50              44028          
77         2        281.1                50              44444          
78         1        279.7                51              45176          
79         1        278.7                52              46078          
80         3        281.4                52              46396          
81         3        284.1                52              47010          
82         3        286.7                52              47437          
83         1        285.4                53              48165          
84         3        287.9                53              48775          
85         1        286.6                54              49433          
86         1        284.8                55              49943          
87         3        287.2                55              50059          
88         2        289.6                55              50366          
89         1        288.3                56              51063          
90         1        287.0                57              51748          
91         1        285.4                58              52308          
92         1        284.8                59              53230          
93         3        287.1                59              54225          
94         1        285.2                60              54655          
95         1        283.3                61              55046          
96         1        282.4                62              55804          
97         1        281.5                63              56516          
98         1        280.7                64              57315          
99         1        279.7                65              58121          
100        1        279.4                66              59188          
101        1        278.6                67              60038          
102        3        280.8                67              60435          
103        2        282.9                67              60900          
104        1        281.8                68              61580          
105        2        283.9                68              62397          
106        1        283.5                69              63333          
107        1        282.4                70              63969          
108        1        281.3                71              64630          
109        1        280.1                72              65305          
110        1        281.0                73              66933          
111        1        279.6                74              67441          
112        1        279.2                75              68537          
113        1        278.1                76              69160          
114        2        280.0                76              69703          
115        1        278.6                77              70295          
116        1        277.8                78              71072          
117        1        277.2                79              71921          
118        2        279.1                79              73200          
119        3        280.9                79              73301          
120        1        281.4                80              74868          
121        3        283.2                80              75661          
122        1        282.1                81              76212          
123        3        283.9                81              77220          
124        3        285.6                81              77431          
125        3        287.3                81              77633          
126        3        289.0                81              77960          
127        1        288.2                82              78708          
128        2        289.9                82              79105          
129        1        288.8                83              79768          
130        1        287.5                84              80278          
131        3        289.1                84              80745          
132        3        290.7                84              81005          
133        1        289.3                85              81398          
134        1        288.6                86              82181          
135        3        290.1                86              82304          
136        3        291.6                86              82668          
137        3        293.2                86              82834          
138        2        294.6                86              83565          
139        3        296.1                86              84635          
140        3        297.6                86              85141          
141        3        299.0                86              85818          
142        1        297.9                87              86369          
143        1        297.0                88              87125          
144        1        297.5                89              88621          
145        1        296.2                90              89091          
146        2        297.6                90              89806          
147        1        296.3                91              90176          
148        3        297.7                91              90562          
149        3        299.1                91              90709          
150        3        300.4                91              90951          
151        3        301.7                91              91115          
152        1        300.7                92              91582          
153        2        302.0                92              92433          
154        1        301.4                93              93377          
155        1        300.6                94              94030          
156        1        300.8                95              95401          
157        1        300.1                96              96112          
158        3        301.4                96              97053          
159        3        302.6                96              97926          
160        1        301.8                97              98654          
161        1        301.2                98              99388          
162        1        300.6                99              100142         
163        1        299.7                100             100850         
164        1        298.8                101             101529         
165        1        298.1                102             102275         
166        1        297.5                103             103174         
167        3        298.7                103             103303         
168        1        298.2                104             104195         
169        1        297.5                105             104960         
170        3        298.7                105             105060         
171        3        299.9                105             105318         
172        3        301.0                105             105729         
173        1        300.0                106             106269         
174        1        299.3                107             107025         
175        1        298.7                108             107749         
176        1        298.0                109             108365         
177        1        296.9                110             108834         
178        1        296.5                111             109723         
179        2        297.6                111             110610         
180        1        296.9                112             111207         
181        2        298.0                112             111943         
182        1        297.5                113             112836         
183        1        296.6                114             113346         
184        1        295.9                115             113926         
185        3        297.0                115             114127         
186        1        296.1                116             114673         
187        3        297.2                116             114972         
188        1        296.5                117             115686         
189        3        297.6                117             116035         
190        3        298.6                117             116215         
191        1        297.9                118             116946         
192        2        299.0                118             117221         
193        2        300.0                118             118018         
194        1        299.3                119             118685         
195        1        298.7                120             119327         
196        3        299.7                120             119875         
197        1        299.0                121             120513         
198        3        300.0                121             120674         
199        1        299.0                122             121015         
200        1        298.2                123             121567         
201        1        297.5                124             122146         
202        2        298.5                124             122698         
203        1        298.0                125             123452         
204        1        297.7                126             124354         
205        3        298.7                126             124656         
206        3        299.6                126             125598         
207        1        298.8                127             126025         
208        1        298.0                128             126617         
209        1        297.3                129             127215         
210        3        298.2                129             127728         
211        1        297.3                130             128105         
212        3        298.2                130             128562         
213        1        297.2                131             128911         
214        3        298.2                131             130535         
215        1        297.5                132             131064         
216        1        297.6                133             132229         
217        1        297.0                134             132888         
218        3        297.9                134             133277         
219        1        297.5                135             134016         
220        1        296.8                136             134565         
221        3        297.7                136             135362         
222        1        296.7                137             135607         
223        3        297.6                137             136386         
224        3        298.5                137             136749         
225        1        298.8                138             138179         
226        1        298.1                139             138693         
227        1        297.2                140             139020         
228        1        297.3                141             140235         
229        1        296.7                142             140860         
230        2        297.6                142             141471         
231        3        298.5                142             141505         
232        1        298.1                143             142325         
233        3        299.0                143             142471         
234        1        298.3                144             143109         
235        1        297.4                145             143407         
236        1        297.0                146             144143         
237        1        296.4                147             144762         
238        3        297.2                147             145270         
239        1        296.5                148             145823         
240        3        297.4                148             146214         
241        1        296.8                149             146799         
242        2        297.6                149             147596         
243        1        296.9                150             148108         
244        3        297.7                150             148343         
245        1        297.1                151             148888         
246        1        296.5                152             149354         
247        3        297.3                152             149672         
248        2        298.1                152             150383         
249        2        298.9                152             151066         
250        1        298.3                153             151684         
251        1        297.5                154             152042         
252        2        298.3                154             152792         
253        1        297.6                155             153318         
254        2        298.4                155             153964         
255        3        299.2                155             154506         
256        1        298.7                156             155162         
257        1        298.2                157             155740         
258        3        298.9                157             156257         
259        1        298.5                158             157001         
260        3        299.3                158             157142         
261        1        298.8                159             157920         
262        1        298.5                160             158857         
263        1        298.1                161             159607         
264        3        298.9                161             159747         
265        1        298.5                162             160629         
266        1        298.0                163             161347         
267        1        297.7                164             162233         
268        1        297.1                165             162739         
269        1        296.6                166             163439         
270        1        296.0                167             164045         
271        1        295.5                168             164842         
272        1        294.7                169             165163         
273        3        295.5                169             165348         
274        3        296.2                169             165643         
275        1        295.8                170             166287         
276        3        296.5                170             166612         
277        1        296.1                171             167371         
278        1        295.5                172             167889         
279        1        295.3                173             168844         
280        1        294.9                174             169484         
281        3        295.6                174             169600         
282        3        296.3                174             170035         
283        1        295.9                175             170719         
284        1        295.7                176             171713         
285        1        295.3                177             172348         
286        2        296.0                177             172920         
287        3        296.7                177             173036         
288        1        296.1                178             173587         
289        1        295.5                179             174023         
290        3        296.2                179             174167         
291        1        295.7                180             174720         
292        1        295.0                181             175175         
293        3        295.7                181             175361         
294        1        295.7                182             176599         
295        3        296.4                182             176896         
296        3        297.1                182             177312         
297        1        296.8                183             178090         
298        1        296.2                184             178626         
299        1        295.9                185             179494         
300        1        295.6                186             180295         
301        3        296.3                186             180560         
302        1        295.8                187             181206         
303        2        296.4                187             181689         
304        1        296.0                188             182367         
305        1        295.6                189             183097         
306        1        295.1                190             183729         
307        1        294.9                191             184681         
308        1        294.4                192             185178         
309        3        295.0                192             185334         
310        2        295.7                192             186054         
311        1        295.2                193             186620         
312        2        295.8                193             187048         
313        1        295.6                194             188046         
314        3        296.3                194             188461         
315        2        296.9                194             189092         
316        3        297.5                194             189447         
317        1        297.0                195             189868         
318        1        296.5                196             190429         
319        1        296.1                197             191134         
320        3        296.7                197             191556         
321        3        297.4                197             191843         
322        3        298.0                197             192128         
323        1        297.5                198             192690         
324        1        297.0                199             193283         
325        1        296.8                200             194239         
326        1        296.4                201             194949         
327        1        296.2                202             195962         
328        1        296.1                203             196970         
329        1        295.5                204             197472         
330        3        296.1                204             197781         
331        1        295.6                205             198346         
332        1        295.1                206             198838         
333        1        294.6                207             199336         
334        1        294.1                208             199873         
335        1        293.9                209             200698         
336        1        293.3                210             201078         
337        1        292.8                211             201547         
338        1        292.4                212             202092         
339        1        291.9                213             202640         
340        1        291.4                214             203230         
341        1        291.0                215             203859         
342        3        291.6                215             204172         
343        2        292.2                215             204791         
344        3        292.8                215             204951         
345        3        293.4                215             205164         
346        1        293.2                216             205854         
347        3        293.8                216             206413         
348        3        294.4                216             207007         
349        1        294.1                217             207624         
350        3        294.7                217             207960         
351        1        294.3                218             208673         
352        1        293.9                219             209418         
353        1        293.5                220             210023         
354        1        293.0                221             210487         
355        1        292.8                222             211413         
356        1        292.4                223             211847         
357        2        293.0                223             212545         
358        1        292.6                224             213159         
359        3        293.2                224             213312         
360        3        293.8                224             214050         
361        3        294.3                224             214777         
362        3        294.9                224             215412         
363        1        294.3                225             215813         
364        3        294.9                225             216075         
365        1        294.5                226             216665         
366        3        295.1                226             216937         
367        3        295.7                226             217124         
368        1        295.1                227             217407         
369        3        295.6                227             217761         
370        3        296.2                227             217966         
371        1        295.8                228             218542         
372        1        295.9                229             219838         
373        3        296.4                229             221083         
374        3        297.0                229             221212         
375        3        297.5                229             221460         
376        3        298.1                229             221860         
377        1        297.5                230             222263         
378        1        297.2                231             223039         
379        1        296.9                232             223711         
380        2        297.4                232             224022         
381        1        296.8                233             224357         
382        1        296.4                234             224930         
383        3        296.9                234             225183         
384        1        296.6                235             226031         
385        2        297.2                235             226699         
386        3        297.7                235             226744         
387        3        298.2                235             226784         
388        1        297.9                236             227594         
389        1        297.5                237             228153         
390        1        297.5                238             229277         
391        3        298.0                238             229963         
392        1        297.6                239             230487         
393        2        298.1                239             231291         
394        1        297.7                240             231854         
395        3        298.2                240             232035         
396        1        298.0                241             232926         
397        1        297.7                242             233761         
398        1        297.6                243             234787         
399        1        297.3                244             235619         
400        1        296.9                245             236179         
401        1        296.4                246             236679         
402        1        296.0                247             237073         
403        3        296.5                247             237414         
404        2        297.0                247             238291         
405        1        296.6                248             238799         
406        1        296.3                249             239476         
407        1        296.0                250             240290         
408        3        296.5                250             240691         
409        3        297.0                250             240971         
410        1        296.9                251             242260         
411        3        297.4                251             242995         
412        3        297.9                251             243245         
413        1        297.4                252             243718         
414        1        297.1                253             244435         
415        1        296.7                254             245010         
416        1        296.7                255             246152         
417        3        297.2                255             246358         
418        1        296.9                256             247040         
419        1        296.5                257             247546         
420        3        297.0                257             247824         
421        1        296.6                258             248476         
422        1        296.4                259             249285         
423        1        296.0                260             249793         
424        2        296.5                260             250213         
425        3        297.0                260             250477         
426        1        296.8                261             251265         
427        3        297.2                261             251619         
428        2        297.7                261             252399         
429        1        297.4                262             253179         
430        1        297.1                263             253829         
431        2        297.6                263             254439         
432        2        298.1                263             255238         
433        3        298.5                263             255571         
434        1        298.2                264             256287         
435        1        297.9                265             257012         
436        3        298.3                265             257400         
437        1        298.0                266             258034         
438        1        297.7                267             258651         
439        1        297.7                268             259935         
440        1        297.4                269             260582         
441        3        297.8                269             261065         
442        1        297.5                270             261657         
443        3        298.0                270             261699         
444        1        297.6                271             262382         
445        1        297.3                272             263025         
446        3        297.8                272             263386         
447        1        297.4                273             264026         
448        3        297.9                273             264306         
449        1        297.5                274             264813         
450        3        297.9                274             264974         
451        1        297.5                275             265519         
452        3        298.0                275             265584         
453        3        298.4                275             265874         
454        3        298.9                275             266076         
455        1        298.5                276             266521         
456        1        298.0                277             266962         
457        1        297.6                278             267276         
458        1        297.3                279             267902         
459        2        297.7                279             268415         
460        1        297.3                280             268947         
461        1        297.1                281             269749         
462        1        296.8                282             270283         
463        1        296.4                283             270904         
464        1        296.1                284             271465         
465        1        295.9                285             272372         
466        1        295.6                286             272930         
467        1        295.2                287             273345         
468        3        295.6                287             274182         
469        1        295.3                288             274743         
470        1        294.9                289             275083         
471        3        295.4                289             275717         
472        3        295.8                289             276253         
473        1        295.5                290             276901         
474        1        295.2                291             277493         
475        1        294.9                292             278280         
476        1        294.6                293             278935         
477        1        294.3                294             279468         
478        1        294.1                295             280206         
479        3        294.5                295             280520         
480        1        294.3                296             281336         
481        1        293.9                297             281780         
482        3        294.3                297             282073         
483        1        294.0                298             282618         
484        2        294.5                298             283248         
485        1        294.1                299             283615         
486        1        294.1                300             284729         
487        1        293.9                301             285476         
488        3        294.3                301             285805         
489        1        293.9                302             286336         
490        1        293.6                303             286977         
491        1        293.3                304             287480         
492        1        292.9                305             287972         
493        1        292.6                306             288391         
494        1        292.3                307             288946         
495        3        292.7                307             289222         
496        3        293.1                307             289621         
497        1        292.9                308             290358         
498        1        292.6                309             291011         
499        1        292.2                310             291480         
500        1        292.0                311             292253         
501        3        292.4                311             292516         
502        3        292.8                311             292671         
503        1        292.5                312             293239         
504        1        292.3                313             294069         
505        3        292.7                313             294347         
506        1        292.6                314             295411         
507        2        293.0                314             295834         
508        3        293.4                314             296116         
509        1        293.1                315             296792         
510        1        292.9                316             297432         
511        1        292.6                317             298022         
512        2        293.0                317             298690         
513        1        292.8                318             299408         
514        2        293.2                318             299659         
515        2        293.6                318             299993         
516        1        293.3                319             300462         
517        1        293.0                320             300785         
518        1        292.6                321             301064         
519        1        292.2                322             301214         
520        1        292.2                323             302069         
521        1        291.9                324             302408         
522        3        292.3                324             302497         
523        1        292.1                325             303072         
524        1        291.8                326             303489         
525        3        292.2                326             303694         
526        1        292.0                327             304292         
527        3        292.4                327             304742         
528        1        292.1                328             305171         
529        1        291.9                329             305756         
530        2        292.3                329             306069         
531        1        292.2                330             306805         
532        1        292.0                331             307342         
533        1        291.7                332             307709         
534        2        292.1                332             308096         
535        1        291.8                333             308531         
536        1        291.7                334             309244         
537        1        291.4                335             309696         
538        2        291.8                335             309944         
539        1        291.6                336             310439         
540        3        292.0                336             310585         
541        3        292.4                336             310809         
542        2        292.7                336             311451         
543        3        293.1                336             311887         
544        3        293.5                336             311961         
545        3        293.9                336             312114         
546        3        294.3                336             312879         
547        3        294.6                336             313029         
548        1        294.3                337             313373         
549        1        294.1                338             313805         
550        1        293.7                339             314066         
551        1        293.5                340             314458         
552        1        293.3                341             315015         
553        3        293.7                341             315166         
554        1        293.4                342             315577         
555        3        293.8                342             315676         
556        3        294.2                342             315927         
557        1        293.8                343             316258         
558        3        294.2                343             316471         
559        3        294.6                343             316691         
560        2        294.9                343             317105         
561        3        295.3                343             317220         
562        3        295.7                343             317445         
563        1        295.3                344             317728         
564        1        295.1                345             318370         
565        3        295.5                345             318417         
566        3        295.9                345             318560         
567        1        295.6                346             319179         
568        1        295.3                347             319564         
569        3        295.7                347             319777         
570        1        295.4                348             320319         
571        3        295.8                348             320525         
572        2        296.1                348             321098         
573        3        296.5                348             321418         
574        3        296.8                348             321488         
575        3        297.2                348             321497         
576        1        296.9                349             321947         
577        1        296.7                350             322612         
578        1        296.5                351             323485         
579        1        296.3                352             324156         
580        1        296.0                353             324524         
581        1        295.5                354             324721         
582        2        295.9                354             325347         
583        1        295.6                355             325840         
584        1        295.3                356             326331         
585        3        295.7                356             326594         
586        2        296.0                356             327766         
587        3        296.4                356             328087         
588        3        296.7                356             328534         
589        3        297.1                356             328809         
590        1        297.0                357             329701         
591        3        297.3                357             329930         
592        3        297.6                357             330129         
593        3        298.0                357             330386         
594        3        298.3                357             330555         
595        1        298.1                358             331176         
596        1        297.8                359             331698         
597        3        298.2                359             331925         
598        1        298.0                360             332684         
599        1        297.7                361             333105         
600        3        298.0                361             333662         
601        1        297.9                362             334518         
602        1        297.6                363             335132         
603        1        297.4                364             335845         
604        3        297.7                364             336058         
605        3        298.1                364             336370         
606        1        297.9                365             337075         
607        1        297.6                366             337659         
608        1        297.4                367             338371         
609        1        297.2                368             339096         
610        1        297.0                369             339838         
611        1        296.7                370             340493         
612        3        297.1                370             340681         
613        3        297.4                370             340825         
614        1        297.1                371             341337         
615        3        297.4                371             341608         
