Episode    Status   Avg steps to goal    Total Goals     Counter        
0          3        500.0                0               233            
1          1        387.0                1               1464           
2          2        424.7                1               2035           
3          1        349.8                2               2625           
4          1        318.8                3               3464           
5          1        285.3                4               3896           
6          1        268.7                5               4447           
7          1        248.6                6               4844           
8          1        240.1                7               5496           
9          1        230.4                8               6092           
10         1        237.5                9               7393           
11         3        259.4                9               7532           
12         1        255.1                10              8267           
13         1        247.9                11              8907           
14         1        242.4                12              9638           
15         1        238.4                13              10277          
16         1        232.5                14              10758          
17         1        227.2                15              11225          
18         3        241.5                15              11958          
19         1        241.1                16              12974          
20         1        237.5                17              13577          
21         1        234.5                18              14359          
22         1        233.4                19              15347          
23         2        244.5                19              15778          
24         1        241.7                20              16550          
25         3        251.6                20              17287          
26         1        256.0                21              18916          
27         1        252.8                22              19648          
28         1        250.8                23              20401          
29         3        259.1                23              20626          
30         1        257.4                24              21542          
31         1        255.2                25              22302          
32         1        252.0                26              22955          
33         1        248.8                27              23511          
34         2        256.0                27              24087          
35         3        262.8                27              24393          
36         2        269.2                27              24958          
37         3        275.3                27              25093          
38         1        271.6                28              25590          
39         1        271.5                29              26755          
40         1        269.8                30              27496          
41         1        268.0                31              28173          
42         3        273.4                31              28276          
43         1        269.8                32              28722          
44         1        267.1                33              29276          
45         1        265.0                34              29941          
46         1        262.8                35              30650          
47         3        267.8                35              31135          
48         1        265.9                36              31872          
49         1        263.6                37              32435          
50         1        262.4                38              33299          
51         3        266.9                38              33444          
52         1        265.2                39              34181          
53         1        263.1                40              34816          
54         3        267.4                40              35040          
55         1        264.4                41              35442          
56         3        268.5                41              35519          
57         3        272.5                41              35799          
58         3        276.3                41              35935          
59         1        274.9                42              36713          
60         2        278.5                42              37124          
61         1        276.6                43              37743          
62         3        280.1                43              37895          
63         1        279.5                44              38811          
64         3        282.9                44              38926          
65         1        284.3                45              40429          
66         1        282.9                46              41226          
67         3        286.1                46              41393          
68         3        289.2                46              41530          
69         1        287.0                47              41991          
70         1        286.6                48              42956          
71         1        286.3                49              43894          
72         1        286.2                50              44919          
73         1        284.1                51              45417          
74         3        287.0                51              45901          
75         3        289.8                51              45983          
76         3        292.5                51              46152          
77         3        295.2                51              46521          
78         1        293.6                52              47181          
79         2        296.1                52              48205          
80         3        298.7                52              48478          
81         1        297.1                53              49145          
82         2        299.6                53              50005          
83         1        298.4                54              50793          
84         1        296.6                55              51363          
85         2        299.0                55              51880          
86         1        297.0                56              52387          
87         1        296.8                57              53532          
88         3        299.1                57              54377          
89         3        301.3                57              54552          
90         3        303.5                57              54857          
91         1        301.2                58              55203          
92         3        303.3                58              56098          
93         1        301.7                59              56645          
94         3        303.7                59              56812          
95         1        302.1                60              57416          
96         3        304.1                60              58853          
97         1        303.0                61              59513          
98         1        301.4                62              60112          
99         1        300.4                63              60973          
100        1        299.1                64              61633          
101        1        298.3                65              62514          
102        3        300.3                65              62806          
103        1        298.8                66              63420          
104        1        297.7                67              64215          
105        1        296.2                68              64830          
106        1        294.3                69              65177          
107        2        296.2                69              66036          
108        1        295.4                70              66848          
109        1        295.5                71              68009          
110        1        294.8                72              68861          
111        3        296.6                72              69523          
112        1        295.7                73              70274          
113        1        294.3                74              70766          
114        1        293.0                75              71347          
115        3        294.8                75              71448          
116        1        293.6                76              72012          
117        3        295.3                76              72184          
118        1        294.4                77              72936          
119        1        293.5                78              73643          
120        2        295.2                78              74093          
121        1        295.6                79              75276          
122        3        297.2                79              75578          
123        1        296.3                80              76250          
124        3        297.9                80              76806          
125        1        297.0                81              77473          
126        1        296.4                82              78357          
127        1        295.4                83              78946          
128        1        293.7                84              79169          
129        2        295.3                84              79896          
130        2        296.8                84              80306          
131        3        298.4                84              80738          
132        1        298.5                85              81943          
133        1        297.9                86              82791          
134        3        299.4                86              83669          
135        1        298.2                87              84200          
136        1        297.0                88              84718          
137        1        295.7                89              85194          
138        1        294.6                90              85787          
139        3        296.0                90              86269          
140        1        295.1                91              86969          
141        1        294.4                92              87886          
142        2        295.9                92              88615          
143        1        294.9                93              89254          
144        1        294.0                94              89921          
145        1        293.9                95              91039          
146        1        293.1                96              91740          
147        1        291.9                97              92196          
148        1        290.8                98              92723          
149        1        289.9                99              93411          
150        3        291.3                99              93825          
151        3        292.7                99              93904          
152        1        292.0                100             94671          
153        3        293.4                100             95028          
154        1        292.8                101             95930          
155        1        292.2                102             96823          
156        1        291.5                103             97705          
157        1        290.8                104             98583          
158        1        290.4                105             99611          
159        3        291.8                105             100103         
160        3        293.0                105             100251         
161        1        293.0                106             101376         
162        1        292.3                107             102262         
163        1        291.7                108             103051         
164        2        293.0                108             103236         
165        2        294.2                108             103969         
166        1        293.6                109             104786         
167        1        293.2                110             105694         
168        1        292.2                111             106123         
169        1        291.1                112             106482         
170        3        292.3                112             106714         
171        1        291.8                113             107432         
172        1        291.3                114             108397         
173        2        292.5                114             108968         
174        1        292.0                115             109829         
175        1        291.0                116             110217         
176        1        291.2                117             111498         
177        1        290.3                118             112028         
178        2        291.4                118             112772         
179        3        292.6                118             112996         
180        1        292.4                119             114081         
181        1        291.8                120             114749         
182        3        293.0                120             115147         
183        1        292.3                121             115875         
184        3        293.4                121             116213         
185        2        294.5                121             116672         
186        1        293.9                122             117427         
187        1        293.3                123             118149         
188        1        292.7                124             118776         
189        1        291.7                125             119190         
190        1        291.1                126             119987         
191        1        290.3                127             120501         
192        3        291.3                127             120767         
193        3        292.4                127             121339         
194        1        292.8                128             122797         
195        3        293.9                128             123531         
196        1        293.3                129             124296         
197        1        292.8                130             125115         
198        1        292.0                131             125733         
199        3        293.1                131             126097         
200        1        292.6                132             126906         
201        1        292.2                133             127852         
202        1        291.6                134             128470         
203        1        291.0                135             129269         
204        1        291.4                136             130858         
205        1        290.7                137             131382         
206        1        290.1                138             132113         
207        1        289.2                139             132489         
208        1        288.4                140             132970         
209        1        287.9                141             133703         
210        1        287.4                142             134375         
211        1        286.7                143             135017         
212        1        286.0                144             135496         
213        3        287.0                144             135729         
214        1        286.7                145             136759         
215        3        287.7                145             137608         
216        1        287.2                146             138422         
217        3        288.2                146             138602         
218        1        287.6                147             139413         
219        1        287.5                148             140545         
220        1        287.0                149             141255         
221        1        286.8                150             142207         
222        3        287.7                150             142607         
223        1        287.0                151             143151         
224        3        288.0                151             143281         
225        1        287.2                152             143781         
226        3        288.1                152             144221         
227        3        289.1                152             144348         
228        1        288.8                153             145193         
229        1        288.6                154             146153         
230        1        288.1                155             146858         
231        1        287.8                156             147715         
232        1        287.3                157             148325         
233        1        286.8                158             149146         
234        1        286.1                159             149699         
235        3        287.0                159             149938         
236        1        286.5                160             150628         
237        1        286.0                161             151301         
238        3        286.9                161             151610         
239        2        287.7                161             152345         
240        1        288.0                162             153628         
241        3        288.9                162             153869         
242        1        288.1                163             154319         
243        1        287.6                164             155110         
244        1        287.2                165             155854         
245        1        286.5                166             156403         
246        3        287.4                166             156784         
247        1        286.6                167             157126         
248        3        287.4                167             157247         
249        1        287.5                168             158486         
250        1        287.0                169             159238         
251        1        286.4                170             159748         
252        3        287.2                170             160097         
253        3        288.1                170             160269         
254        1        287.3                171             160660         
255        2        288.2                171             161113         
256        3        289.0                171             161491         
257        1        288.7                172             162276         
258        3        289.5                172             162658         
259        1        289.0                173             163374         
260        1        288.5                174             163973         
261        1        287.8                175             164384         
262        3        288.6                175             164556         
263        3        289.4                175             164958         
264        3        290.2                175             165042         
265        1        289.8                176             165752         
266        1        289.2                177             166285         
267        3        290.0                177             166613         
268        3        290.8                177             166947         
269        3        291.6                177             167232         
270        2        292.3                177             168328         
271        1        291.7                178             168859         
272        1        291.2                179             169556         
273        1        290.8                180             170400         
274        1        290.4                181             171107         
275        3        291.2                181             171442         
276        1        290.7                182             172026         
277        3        291.4                182             172454         
278        1        291.0                183             173136         
279        1        290.4                184             173524         
280        1        290.1                185             174302         
281        1        289.4                186             174686         
282        2        290.1                186             175187         
283        1        289.7                187             175860         
284        2        290.5                187             176316         
285        3        291.2                187             176677         
286        1        290.7                188             177239         
287        1        290.1                189             177666         
288        1        289.7                190             178344         
289        3        290.4                190             178465         
290        3        291.2                190             178618         
291        3        291.9                190             179000         
292        3        292.6                190             179160         
293        1        292.6                191             180277         
294        1        291.9                192             180733         
295        3        292.7                192             180850         
296        1        292.2                193             181461         
297        1        291.7                194             182132         
298        3        292.4                194             182439         
299        1        292.2                195             183329         
300        1        291.7                196             184016         
301        2        292.4                196             184614         
302        3        293.1                196             184833         
303        2        293.8                196             185402         
304        1        293.6                197             186437         
305        1        293.1                198             186988         
306        3        293.8                198             187266         
307        3        294.5                198             187401         
308        3        295.1                198             187501         
309        2        295.8                198             188063         
310        1        295.4                199             188702         
311        1        294.9                200             189214         
312        1        294.5                201             189751         
313        3        295.1                201             189997         
314        3        295.8                201             190395         
315        3        296.4                201             190716         
316        1        295.9                202             191254         
317        1        295.5                203             191900         
318        3        296.2                203             192572         
319        1        296.0                204             193502         
320        1        295.9                205             194504         
321        1        295.2                206             194850         
322        1        294.9                207             195565         
323        3        295.5                207             195730         
324        1        295.1                208             196389         
325        1        294.6                209             196851         
326        2        295.2                209             197405         
327        1        294.6                210             197791         
328        1        294.1                211             198187         
329        1        294.0                212             199207         
330        1        293.5                213             199661         
331        1        293.0                214             200100         
332        1        292.5                215             200677         
333        2        293.1                215             201326         
334        2        293.8                215             201647         
335        1        293.2                216             202099         
336        2        293.9                216             202387         
337        2        294.5                216             202762         
338        1        294.2                217             203657         
339        1        293.6                218             204010         
340        1        293.2                219             204619         
341        2        293.8                219             205134         
342        3        294.4                219             205268         
343        3        295.0                219             205773         
344        1        294.3                220             206112         
345        3        294.9                220             206283         
346        3        295.5                220             206787         
347        1        295.1                221             207521         
348        3        295.7                221             208148         
349        1        295.3                222             208800         
350        1        295.0                223             209412         
351        2        295.5                223             210407         
352        3        296.1                223             210589         
353        1        295.6                224             211066         
354        1        295.3                225             211810         
355        1        294.8                226             212277         
356        1        294.4                227             212770         
357        3        295.0                227             212942         
358        3        295.6                227             213076         
359        2        296.1                227             213502         
360        2        296.7                227             213852         
361        1        296.4                228             214533         
362        3        296.9                228             215127         
363        1        296.6                229             215854         
364        1        296.2                230             216303         
365        2        296.7                230             216741         
366        1        296.3                231             217386         
367        3        296.9                231             217577         
368        1        296.7                232             218475         
369        1        296.2                233             219052         
370        1        295.8                234             219637         
371        1        295.7                235             220575         
372        1        295.5                236             221439         
373        3        296.0                236             221490         
374        3        296.5                236             221936         
375        1        296.0                237             222221         
376        1        295.7                238             222941         
377        2        296.2                238             223329         
378        1        295.9                239             223968         
379        1        295.4                240             224416         
380        3        295.9                240             224617         
381        1        295.5                241             225173         
382        1        295.1                242             225784         
383        3        295.7                242             226001         
384        3        296.2                242             226464         
385        3        296.7                242             227481         
386        3        297.3                242             227585         
387        3        297.8                242             228411         
388        1        297.7                243             229348         
389        1        297.4                244             230172         
390        2        297.9                244             230795         
391        3        298.4                244             230931         
392        3        298.9                244             231147         
393        2        299.5                244             231567         
394        1        299.2                245             232414         
395        1        298.7                246             232846         
396        1        298.4                247             233472         
397        3        298.9                247             233616         
398        1        298.4                248             233960         
399        1        298.0                249             234529         
400        3        298.5                249             235087         
401        1        298.0                250             235426         
402        3        298.5                250             235570         
403        3        299.0                250             235744         
404        2        299.5                250             236401         
405        2        300.0                250             237131         
406        1        299.4                251             237436         
407        3        299.9                251             237642         
408        1        299.7                252             238523         
409        3        300.2                252             238575         
410        1        299.9                253             239359         
411        1        299.7                254             240284         
412        1        299.5                255             241285         
413        3        300.0                255             241531         
414        1        299.8                256             242382         
415        1        299.5                257             242987         
416        1        299.2                258             243673         
417        1        298.9                259             244235         
418        1        298.5                260             244754         
419        1        298.3                261             245534         
420        2        298.7                261             245904         
421        3        299.2                261             246276         
422        1        298.9                262             246972         
423        1        298.7                263             247868         
424        2        299.1                263             248192         
425        1        298.7                264             248514         
426        2        299.1                264             248802         
427        1        298.7                265             249293         
428        2        299.2                265             249978         
429        1        298.7                266             250305         
430        1        298.3                267             250846         
431        3        298.7                267             251086         
432        1        298.4                268             251706         
433        1        298.0                269             252031         
434        3        298.4                269             252222         
435        1        298.0                270             252686         
436        1        297.6                271             253222         
437        3        298.1                271             253599         
438        1        297.7                272             254054         
439        1        297.3                273             254517         
440        1        296.9                274             254946         
441        3        297.4                274             255155         
442        3        297.8                274             255252         
443        3        298.3                274             255469         
444        3        298.7                274             255552         
445        3        299.2                274             255755         
446        1        298.8                275             256230         
447        1        298.6                276             256975         
448        3        299.0                276             257058         
449        3        299.4                276             257277         
450        1        299.0                277             257728         
451        1        298.7                278             258201         
452        1        298.5                279             259084         
453        1        298.4                280             259851         
454        3        298.8                280             260029         
455        3        299.2                280             260370         
456        1        298.8                281             260843         
457        3        299.3                281             260984         
458        1        298.9                282             261473         
459        3        299.4                282             261923         
460        2        299.8                282             262507         
461        1        299.6                283             263532         
462        1        299.2                284             264024         
463        3        299.7                284             264304         
464        1        299.3                285             264913         
465        1        299.0                286             265400         
466        1        298.6                287             266006         
467        3        299.1                287             266195         
468        3        299.5                287             266406         
469        1        299.3                288             267170         
470        1        298.9                289             267671         
471        2        299.3                289             268349         
472        1        299.0                290             269073         
473        1        298.6                291             269487         
474        1        298.3                292             269952         
475        1        298.0                293             270787         
476        1        297.7                294             271445         
477        1        297.5                295             272194         
