Episodes: 44500	Goals: 26990	Out of bounds: 17511	Total reward 22176
Episodes: 45000	Goals: 27408	Out of bounds: 17593	Total reward 22586
Episodes: 45500	Goals: 27823	Out of bounds: 17678	Total reward 22995
Episodes: 46000	Goals: 28246	Out of bounds: 17755	Total reward 23413
Episodes: 46500	Goals: 28686	Out of bounds: 17815	Total reward 23843
Episodes: 47000	Goals: 29112	Out of bounds: 17889	Total reward 24264
Episodes: 47500	Goals: 29539	Out of bounds: 17962	Total reward 24683
Episodes: 48000	Goals: 29972	Out of bounds: 18029	Total reward 25110
Episodes: 48500	Goals: 30407	Out of bounds: 18094	Total reward 25533
Episodes: 49000	Goals: 30842	Out of bounds: 18159	Total reward 25958
Episodes: 49500	Goals: 31270	Out of bounds: 18231	Total reward 26378
Episodes: 50000	Goals: 31706	Out of bounds: 18295	Total reward 26806
